flowId,txBytes,rxBytes,txPackets,rxPackets,lostPackets,delaySum_ns,jitterSum_ns,timeFirstTxPacket,timeLastRxPacket,throughput_kbps,source,destination,protocol,sourcePort,destinationPort
775,2416,2416,7,7,0,386797000.0,85416000.0,4.4,4.64873,77.70675029148096,10.4.25.1,10.10.5.4,6,49154,8001
776,2416,2416,7,7,0,397211000.0,89001600.0,4.4,4.64985,77.35841504902959,10.4.35.1,10.10.5.4,6,49153,8000
777,2416,2416,7,7,0,389883000.0,78712000.0,4.4,4.6471,78.2193443949819,10.5.5.1,10.10.5.4,6,49156,8003
778,2416,2416,7,7,0,402614000.0,83526400.0,4.4,4.64817,77.88209694967159,10.5.15.1,10.10.5.4,6,49155,8002
779,2416,2416,7,7,0,394408000.0,87782400.0,4.4,4.6498,77.37389911929556,10.5.25.1,10.10.5.4,6,49154,8001
780,2416,2416,7,7,0,378171000.0,70681600.0,4.4,4.64671,78.34299379838698,10.5.35.1,10.10.5.4,6,49153,8000
781,264,264,5,5,0,203176000.0,547200.0,4.44414,4.5859,14.898419864559855,10.10.5.4,10.3.5.1,6,8003,49156
782,264,264,5,5,0,203102000.0,510400.0,4.44419,4.60336,13.268832066344121,10.10.5.4,10.3.15.1,6,8002,49155
783,264,264,5,5,0,203102000.0,510400.0,4.44423,4.60533,13.109869646182474,10.10.5.4,10.3.25.1,6,8001,49154
784,264,264,5,5,0,203102000.0,510400.0,4.44428,4.60731,12.954670919462675,10.10.5.4,10.3.35.1,6,8000,49153
785,264,264,5,5,0,203102000.0,510400.0,4.44432,4.60256,13.346814964610704,10.10.5.4,10.1.5.1,6,8003,49156
786,264,264,5,5,0,203102000.0,510400.0,4.44437,4.60296,13.31735922819848,10.10.5.4,10.2.5.1,6,8003,49156
787,264,264,5,5,0,203102000.0,510400.0,4.44442,4.60415,13.222312652601289,10.10.5.4,10.1.15.1,6,8002,49155
788,264,264,5,5,0,203102000.0,510400.0,4.44446,4.60454,13.193403298350843,10.10.5.4,10.2.15.1,6,8002,49155
789,264,264,5,5,0,203102000.0,510400.0,4.44451,4.60612,13.0684982364953,10.10.5.4,10.1.25.1,6,8001,49154
790,264,264,5,5,0,203102000.0,510400.0,4.44456,4.60652,13.040256853544111,10.10.5.4,10.2.25.1,6,8001,49154
791,264,264,5,5,0,203102000.0,510400.0,4.4446,4.6081,12.917431192660553,10.10.5.4,10.1.35.1,6,8000,49153
792,264,264,5,5,0,203102000.0,510400.0,4.44465,4.60849,12.890625000000036,10.10.5.4,10.2.35.1,6,8000,49153
793,264,264,5,5,0,203102000.0,510400.0,4.4447,4.60375,13.278843131090877,10.10.5.4,10.4.5.1,6,8003,49156
794,264,264,5,5,0,203102000.0,510400.0,4.44474,4.60573,13.11882725635133,10.10.5.4,10.4.15.1,6,8002,49155
795,264,264,5,5,0,203102000.0,510400.0,4.44479,4.6077,12.964213369345028,10.10.5.4,10.4.25.1,6,8001,49154
796,264,264,5,5,0,203102000.0,510400.0,4.44484,4.60928,12.84359036730723,10.10.5.4,10.4.35.1,6,8000,49153
797,264,264,5,5,0,203062000.0,470400.0,4.44492,4.60494,13.1983502062242,10.10.5.4,10.5.5.1,6,8003,49156
798,264,264,5,5,0,203062000.0,470400.0,4.44497,4.60691,13.041867358280811,10.10.5.4,10.5.15.1,6,8002,49155
799,264,264,5,5,0,203062000.0,470400.0,4.44502,4.60889,12.88826508817971,10.10.5.4,10.5.25.1,6,8001,49154
800,264,264,5,5,0,203062000.0,470400.0,4.44506,4.60217,13.442810769524511,10.10.5.4,10.5.35.1,6,8000,49153
801,2416,2416,7,7,0,377224000.0,73308800.0,4.5,4.74757,78.07084864886711,10.1.6.1,10.10.5.4,6,49156,8003
802,2416,2416,7,7,0,387163000.0,77785600.0,4.5,4.74775,78.01412714429871,10.1.16.1,10.10.5.4,6,49155,8002
803,2416,2416,7,7,0,398941000.0,83324800.0,4.5,4.74796,77.9480561380868,10.1.26.1,10.10.5.4,6,49154,8001
804,2416,2416,7,7,0,390592000.0,87540800.0,4.5,4.7496,77.43589743589742,10.1.36.1,10.10.5.4,6,49153,8000
805,2416,2416,7,7,0,379747000.0,74404800.0,4.5,4.74762,78.05508440352139,10.2.6.1,10.10.5.4,6,49156,8003
806,2416,2416,7,7,0,389470000.0,78838400.0,4.5,4.74783,77.98894403421687,10.2.16.1,10.10.5.4,6,49155,8002
807,2416,2416,7,7,0,401202000.0,84427200.0,4.5,4.74801,77.9323414378453,10.2.26.1,10.10.5.4,6,49154,8001
808,2416,2416,7,7,0,393797000.0,87699200.0,4.5,4.75058,77.13305132093535,10.2.36.1,10.10.5.4,6,49153,8000
809,2416,2416,7,7,0,351394000.0,43740800.0,4.5,4.72727,85.04422053064641,10.3.6.1,10.10.5.4,6,49156,8003
810,2416,2416,7,7,0,382923000.0,75732800.0,4.5,4.74766,78.04247759024476,10.3.16.1,10.10.5.4,6,49155,8002
811,2416,2416,7,7,0,394973000.0,81355200.0,4.5,4.74792,77.96063246208463,10.3.26.1,10.10.5.4,6,49154,8001
812,2416,2416,7,7,0,386254000.0,86120000.0,4.5,4.74904,77.61002248634759,10.3.36.1,10.10.5.4,6,49153,8000
813,2416,2416,7,7,0,383952000.0,76310400.0,4.5,4.7477,78.02987484860718,10.4.6.1,10.10.5.4,6,49156,8003
814,2416,2416,7,7,0,395782000.0,82025600.0,4.5,4.74788,77.97321284492486,10.4.16.1,10.10.5.4,6,49155,8002
815,2416,2416,7,7,0,387619000.0,86238400.0,4.5,4.74955,77.45141254257659,10.4.26.1,10.10.5.4,6,49154,8001
816,2416,2416,7,7,0,398034000.0,89824000.0,4.5,4.75067,77.10535764152061,10.4.36.1,10.10.5.4,6,49153,8000
817,2416,2416,7,7,0,390549000.0,79620800.0,4.5,4.74779,78.00153355664064,10.5.6.1,10.10.5.4,6,49156,8003
818,2416,2416,7,7,0,403410000.0,84305600.0,4.5,4.74899,77.62560745411461,10.5.16.1,10.10.5.4,6,49155,8002
819,2416,2416,7,7,0,395203000.0,88561600.0,4.5,4.75063,77.11766348801017,10.5.26.1,10.10.5.4,6,49154,8001
